# time [s],                        UTM easting [m, +ve = towards East]                        UTM northing [m, +ve = towards North]                        altitude [m]
1.536097586324259758e+09,6.254998865861791419e+05,5.041746508455174975e+06,2.681999969482421875e+01
1.536097586373503685e+09,6.254998792679832550e+05,5.041746522757062688e+06,2.679999923706054688e+01
1.536097586421815634e+09,6.254998663529769983e+05,5.041746543430166319e+06,2.680999946594238281e+01
1.536097586470578194e+09,6.254998640673662303e+05,5.041746566538841464e+06,2.680999946594238281e+01
1.536097586519046307e+09,6.254998558500254294e+05,5.041746593233501539e+06,2.680999946594238281e+01
1.536097586567080498e+09,6.254998455564714968e+05,5.041746606549661607e+06,2.680999946594238281e+01
1.536097586616334677e+09,6.254998361194330500e+05,5.041746635627967305e+06,2.680999946594238281e+01
1.536097586664395571e+09,6.254998331116401823e+05,5.041746649275186472e+06,2.681999969482421875e+01
1.536097586712548733e+09,6.254998224386961665e+05,5.041746662028044462e+06,2.681999969482421875e+01
1.536097586761028767e+09,6.254998077207761817e+05,5.041746694705365226e+06,2.681999969482421875e+01
1.536097586809090376e+09,6.254998011201333720e+05,5.041746705687376671e+06,2.681999969482421875e+01
1.536097586859458447e+09,6.254997895967024378e+05,5.041746682858024724e+06,2.679999923706054688e+01
1.536097586907358646e+09,6.254997815794831840e+05,5.041746699553980492e+06,2.679999923706054688e+01
1.536097586955432415e+09,6.254997704752678983e+05,5.041746714335797355e+06,2.680999946594238281e+01
1.536097587001959085e+09,6.254997655223517213e+05,5.041746727573612705e+06,2.680999946594238281e+01
1.536097587088934183e+09,6.254997570316951023e+05,5.041746780936693773e+06,2.678000068664550781e+01
1.536097587131820679e+09,6.254997512125280919e+05,5.041746798417585902e+06,2.678000068664550781e+01
1.536097587179309607e+09,6.254997363343290053e+05,5.041746826090342365e+06,2.678000068664550781e+01
1.536097587228605986e+09,6.254997248136632843e+05,5.041746842160472646e+06,2.678000068664550781e+01
1.536097587276380539e+09,6.254997249739213148e+05,5.041746899216171354e+06,2.676000022888183594e+01
1.536097587325593948e+09,6.254997222417545272e+05,5.041746918611202389e+06,2.676000022888183594e+01
1.536097587373458624e+09,6.254997070545796305e+05,5.041746942202597857e+06,2.675000000000000000e+01
